1 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00056, 'val_kl_Loss_Z': 0.13292, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 123.54997, 'val_kl_Loss_MI': 4.51236}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00055, 'val_kl_Loss_Z': 0.15451, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 123.54997, 'val_kl_Loss_MI': 4.51267}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 0.16526, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 123.55001, 'val_kl_Loss_MI': 4.51352}
4 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00053, 'val_kl_Loss_Z': 0.46167, 'val_kl_Loss_FC': 0.0004, 'val_kl_Loss_TC': 123.55003, 'val_kl_Loss_MI': 4.5157}
5 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00052, 'val_kl_Loss_Z': 0.2026, 'val_kl_Loss_FC': 0.00015, 'val_kl_Loss_TC': 123.55017, 'val_kl_Loss_MI': 4.52118}
6 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00051, 'val_kl_Loss_Z': 0.07182, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 123.55129, 'val_kl_Loss_MI': 4.53889}
7 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_Z': 1.35954, 'val_kl_Loss_FC': 0.0002, 'val_kl_Loss_TC': 123.56324, 'val_kl_Loss_MI': 4.60242}
8 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 1.73371, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 123.68585, 'val_kl_Loss_MI': 4.81184}
9 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.07108, 'val_kl_Loss_FC': 0.00074, 'val_kl_Loss_TC': 123.73968, 'val_kl_Loss_MI': 4.87053}
10 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.92283, 'val_kl_Loss_FC': 0.00037, 'val_kl_Loss_TC': 123.79147, 'val_kl_Loss_MI': 4.92037}
11 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.53939, 'val_kl_Loss_FC': 0.0004, 'val_kl_Loss_TC': 123.82636, 'val_kl_Loss_MI': 4.94945}
12 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.89918, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 123.83769, 'val_kl_Loss_MI': 4.96062}
13 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.85048, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 123.8529, 'val_kl_Loss_MI': 4.9726}
