1 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_Z': 2.35898, 'val_kl_Loss_FC': 0.00045, 'val_kl_Loss_TC': 220.92252, 'val_kl_Loss_MI': 4.63284}
2 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00056, 'val_kl_Loss_Z': 2.16012, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 220.9227, 'val_kl_Loss_MI': 4.63417}
3 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 2.26649, 'val_kl_Loss_FC': 0.00015, 'val_kl_Loss_TC': 220.92319, 'val_kl_Loss_MI': 4.63765}
4 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00052, 'val_kl_Loss_Z': 2.09277, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 220.9245, 'val_kl_Loss_MI': 4.64524}
5 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00047, 'val_kl_Loss_Z': 2.20681, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 220.929, 'val_kl_Loss_MI': 4.66556}
6 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_Z': 2.13662, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 220.95217, 'val_kl_Loss_MI': 4.73244}
7 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 2.17334, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 221.04499, 'val_kl_Loss_MI': 4.87663}
8 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.68599, 'val_kl_Loss_FC': 0.00051, 'val_kl_Loss_TC': 221.09819, 'val_kl_Loss_MI': 4.93559}
9 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.91882, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 221.13194, 'val_kl_Loss_MI': 4.9699}
10 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.90114, 'val_kl_Loss_FC': 0.0003, 'val_kl_Loss_TC': 221.16995, 'val_kl_Loss_MI': 5.00333}
11 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 8.44314, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 221.19856, 'val_kl_Loss_MI': 5.02666}
