1 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_Z': 0.44447, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00049, 'val_kl_Loss_DTC': 0.01}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00048, 'val_kl_Loss_Z': 1.19333, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00695, 'val_kl_Loss_DTC': 0.01}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.83784, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.0007, 'val_kl_Loss_DTC': 0.01}
4 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.90952, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00084, 'val_kl_Loss_DTC': 0.01}
5 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.9202, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00684, 'val_kl_Loss_DTC': 0.01}
6 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.92766, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00087, 'val_kl_Loss_DTC': 0.01}
7 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.89867, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00243, 'val_kl_Loss_DTC': 0.01}
8 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.90196, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00421, 'val_kl_Loss_DTC': 0.01}
9 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.89603, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00286, 'val_kl_Loss_DTC': 0.00999}
10 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.86922, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.0066, 'val_kl_Loss_DTC': 0.00997}
11 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.85328, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00206, 'val_kl_Loss_DTC': 0.00999}
12 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.85797, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00102, 'val_kl_Loss_DTC': 0.00999}
13 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.82425, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00703, 'val_kl_Loss_DTC': 0.00999}
14 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.8295, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.01114, 'val_kl_Loss_DTC': 0.00998}
15 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.81767, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00417, 'val_kl_Loss_DTC': 0.00999}
16 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.78956, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00628, 'val_kl_Loss_DTC': 0.00996}
17 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.77234, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00523, 'val_kl_Loss_DTC': 0.00997}
18 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.77831, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00437, 'val_kl_Loss_DTC': 0.00996}
19 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.73996, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00795, 'val_kl_Loss_DTC': 0.00994}
20 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.73337, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00391, 'val_kl_Loss_DTC': 0.00993}
21 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.73919, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00911, 'val_kl_Loss_DTC': 0.00985}
22 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.72706, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00076, 'val_kl_Loss_DTC': 0.0098}
